DATE,DAY,FLIGHT NUMBER,ORIGIN,DEPARTURE TIME,ARRIVAL TIME,CARRIER DELAY,WEATHER DELAY,AIRPORT YEARLY ON-TIME DEP PERCENTAGE,AIRLINE YEARLY ON-TIME ARR PERCENTAGE,ARRIVAL STATUS
03/01/2009,Sunday,YV 7151,ORD,420,526,0.0,0.0,78.21,79.13,0
03/01/2010,Monday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,0
03/01/2011,Tuesday,YV 7244,ORD,871,970,0.0,0.0,74.4,83.73,2
03/01/2012,Thursday,YV 3734,ORD,1256,1359,0.0,0.0,76.58,85.0,2
03/01/2013,Friday,YV 3731,ORD,895,997,0.0,116.0,70.37,77.39,1
03/02/2009,Monday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,2
03/02/2010,Tuesday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,0
03/02/2011,Wednesday,YV 7244,ORD,871,970,19.0,0.0,74.4,83.73,1
03/02/2012,Friday,YV 3734,ORD,1256,1359,0.0,0.0,76.58,85.0,1
03/03/2009,Tuesday,YV 7151,ORD,423,529,24.0,0.0,78.21,79.13,1
03/03/2010,Wednesday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,2
03/03/2011,Thursday,YV 7244,ORD,871,970,0.0,0.0,74.4,83.73,2
03/03/2013,Sunday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,2
03/04/2009,Wednesday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,0
03/04/2010,Thursday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,2
03/04/2011,Friday,YV 7244,ORD,871,970,0.0,0.0,74.4,83.73,0
03/04/2013,Monday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,0
03/05/2009,Thursday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,0
03/05/2010,Friday,YV 7287,ORD,1067,1167,48.0,0.0,77.53,83.32,1
03/05/2012,Monday,YV 3737,ORD,1240,1343,52.0,0.0,76.58,85.0,1
03/06/2009,Friday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,0
03/06/2010,Saturday,YV 7203,ORD,916,1022,0.0,0.0,77.53,83.32,2
03/06/2011,Sunday,YV 7278,ORD,1337,1439,23.0,0.0,74.4,83.73,1
03/06/2011,Sunday,YV 7285,ORD,887,986,0.0,0.0,74.4,83.73,0
03/06/2012,Tuesday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,1
03/06/2013,Wednesday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,0
03/07/2009,Saturday,YV 7123,ORD,1042,1155,143.0,0.0,78.21,79.13,1
03/07/2009,Saturday,YV 7151,ORD,427,533,28.0,0.0,78.21,79.13,1
03/07/2009,Saturday,YV 7336,ORD,942,1045,0.0,0.0,78.21,79.13,0
03/07/2011,Monday,YV 7278,ORD,1335,1439,0.0,0.0,74.4,83.73,0
03/07/2011,Monday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,2
03/07/2012,Wednesday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,1
03/07/2013,Thursday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,2
03/08/2009,Sunday,YV 7151,ORD,420,526,0.0,0.0,78.21,79.13,2
03/08/2010,Monday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,2
03/08/2011,Tuesday,YV 7278,ORD,1335,1439,131.0,0.0,74.4,83.73,1
03/08/2011,Tuesday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,2
03/08/2012,Thursday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,0
03/08/2013,Friday,YV 3731,ORD,895,997,84.0,0.0,70.37,77.39,1
03/09/2009,Monday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,1
03/09/2010,Tuesday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,0
03/09/2011,Wednesday,YV 7278,ORD,1335,1439,0.0,0.0,74.4,83.73,2
03/09/2011,Wednesday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,0
03/09/2012,Friday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,2
03/10/2009,Tuesday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,1
03/10/2010,Wednesday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,1
03/10/2011,Thursday,YV 7278,ORD,1335,1439,0.0,0.0,74.4,83.73,1
03/10/2011,Thursday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,0
03/10/2012,Saturday,YV 3737,ORD,1234,1337,0.0,0.0,76.58,85.0,0
03/10/2013,Sunday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,0
03/11/2009,Wednesday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,2
03/11/2010,Thursday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,2
03/11/2011,Friday,YV 7278,ORD,1335,1439,0.0,0.0,74.4,83.73,2
03/11/2011,Friday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,2
03/11/2012,Sunday,YV 3737,ORD,1243,1346,0.0,0.0,76.58,85.0,0
03/11/2013,Monday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,2
03/12/2009,Thursday,YV 7151,ORD,423,529,22.0,0.0,78.21,79.13,1
03/12/2010,Friday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,2
03/12/2012,Monday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,1
03/13/2009,Friday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,0
03/13/2010,Saturday,YV 7203,ORD,916,1022,0.0,0.0,77.53,83.32,1
03/13/2011,Sunday,YV 7278,ORD,1337,1439,0.0,0.0,74.4,83.73,0
03/13/2011,Sunday,YV 7285,ORD,887,986,0.0,0.0,74.4,83.73,2
03/13/2012,Tuesday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,0
03/13/2013,Wednesday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,2
03/14/2009,Saturday,YV 7123,ORD,1042,1155,0.0,0.0,78.21,79.13,2
03/14/2009,Saturday,YV 7151,ORD,427,533,0.0,0.0,78.21,79.13,0
03/14/2009,Saturday,YV 7336,ORD,942,1045,0.0,0.0,78.21,79.13,0
03/14/2011,Monday,YV 7278,ORD,1335,1439,0.0,0.0,74.4,83.73,0
03/14/2011,Monday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,0
03/14/2012,Wednesday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,0
03/14/2013,Thursday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,1
03/15/2009,Sunday,YV 7151,ORD,420,526,0.0,0.0,78.21,79.13,2
03/15/2010,Monday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,2
03/15/2011,Tuesday,YV 7278,ORD,1335,1439,0.0,0.0,74.4,83.73,2
03/15/2011,Tuesday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,0
03/15/2012,Thursday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,1
03/15/2013,Friday,YV 3731,ORD,895,997,0.0,0.0,70.37,77.39,2
03/16/2009,Monday,YV 7151,ORD,423,529,0.0,0.0,78.21,79.13,2
03/16/2010,Tuesday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,0
03/16/2011,Wednesday,YV 7278,ORD,1335,1439,0.0,0.0,74.4,83.73,2
03/16/2011,Wednesday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,0
03/16/2012,Friday,YV 3737,ORD,1240,1343,0.0,0.0,76.58,85.0,0
03/17/2009,Tuesday,YV 7151,ORD,423,529,84.0,0.0,78.21,79.13,1
03/17/2010,Wednesday,YV 7287,ORD,1067,1167,0.0,0.0,77.53,83.32,2
03/17/2011,Thursday,YV 7278,ORD,1335,1439,0.0,0.0,74.4,83.73,1
03/17/2011,Thursday,YV 7285,ORD,881,980,0.0,0.0,74.4,83.73,2
03/17/2012,Saturday,YV 3737,ORD,1234,1337,0.0,0.0,76.58,85.0,0
