DATE,DAY,FLIGHT NUMBER,ORIGIN,DEPARTURE TIME,ARRIVAL TIME,ARRIVAL STATUS,previous_flight_status
03/01/2006,Wednesday,B6 68,JFK,590,655,2,0
03/01/2006,Wednesday,B6 72,JFK,920,990,1,2
03/01/2006,Wednesday,B6 22,JFK,1375,1439,2,1
03/01/2006,Wednesday,OO 6844,ORD,600,706,0,0
03/01/2006,Wednesday,OO 5802,ORD,1330,1432,0,0
03/01/2007,Thursday,B6 660,MCO,905,1075,1,0
03/01/2007,Thursday,B6 1042,JFK,420,500,0,0
03/01/2007,Thursday,B6 68,JFK,575,646,1,0
03/01/2007,Thursday,B6 72,JFK,920,990,2,1
03/01/2007,Thursday,B6 22,JFK,1360,1427,1,2
03/01/2007,Thursday,OO 5840,ORD,604,705,2,0
03/01/2007,Thursday,OO 5844,ORD,855,956,1,2
03/01/2007,Thursday,OO 6438,ORD,1035,1148,2,1
03/01/2007,Thursday,OO 6446,ORD,1180,1292,2,2
03/01/2009,Sunday,B6 668,MCO,776,935,2,0
03/01/2009,Sunday,B6 664,MCO,1095,1253,0,2
03/01/2009,Sunday,B6 80,JFK,405,475,1,0
03/01/2009,Sunday,B6 42,JFK,670,745,2,1
03/01/2009,Sunday,B6 16,JFK,1020,1112,2,2
03/01/2009,Sunday,B6 22,JFK,1360,1439,1,2
03/01/2009,Sunday,OO 5988,ORD,614,720,0,0
03/01/2010,Monday,B6 668,MCO,705,865,1,0
03/01/2010,Monday,B6 660,MCO,1145,1304,0,1
03/01/2010,Monday,B6 22,JFK,-75,5,0,0
03/01/2010,Monday,B6 44,JFK,480,564,0,0
03/01/2010,Monday,B6 42,JFK,629,707,2,0
03/01/2010,Monday,B6 62,JFK,873,961,0,2
03/01/2010,Monday,OO 6752,ORD,442,548,0,0
03/01/2011,Tuesday,B6 664,MCO,650,809,1,0
03/01/2011,Tuesday,B6 660,MCO,1145,1303,2,1
03/01/2011,Tuesday,B6 42,JFK,630,697,1,0
03/01/2011,Tuesday,B6 62,JFK,1020,1104,2,1
03/01/2011,Tuesday,B6 22,JFK,1365,1433,0,2
03/01/2012,Thursday,B6 664,MCO,480,639,2,0
03/01/2012,Thursday,B6 658,MCO,1039,1200,1,2
03/01/2012,Thursday,B6 44,JFK,457,534,0,0
03/01/2012,Thursday,B6 12,JFK,890,977,0,0
03/01/2012,Thursday,B6 22,JFK,1370,1438,0,0
03/01/2013,Friday,B6 664,MCO,947,1110,1,0
03/01/2013,Friday,B6 658,MCO,1070,1230,0,1
03/01/2013,Friday,B6 44,JFK,450,523,2,0
03/01/2013,Friday,B6 12,JFK,955,1045,1,2
03/01/2013,Friday,9E 3843,JFK,1100,1190,0,1
03/01/2013,Friday,B6 22,JFK,1371,1437,2,0
03/01/2014,Saturday,B6 656,MCO,712,875,1,0
03/01/2014,Saturday,B6 116,JFK,558,629,1,0
03/01/2014,Saturday,B6 316,JFK,739,811,2,1
03/01/2014,Saturday,B6 1816,JFK,1355,1421,1,2
03/01/2014,Saturday,OO 5269,ORD,1250,1355,2,0
03/01/2015,Sunday,B6 656,MCO,883,1046,1,0
03/01/2015,Sunday,B6 116,JFK,577,657,0,0
03/01/2015,Sunday,B6 316,JFK,790,871,1,0
03/01/2015,Sunday,B6 1816,JFK,1349,1419,1,1
03/01/2016,Tuesday,B6 656,MCO,1160,1323,0,0
