Detailed Statistics Departures  
Origin Airport: Orlando, FL: Orlando International (MCO)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): March, April, and May
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","03/04/2006","4637","N832AE","RDU","18:15","22:23","100","99","248","22:39","16","227","0","0","0","20"
"MQ","03/04/2006","4687","N700LE","RDU","09:50","09:44","101","100","-6","09:53","9","0","0","0","0","0"
"MQ","03/04/2006","4689","N718AE","RDU","14:38","14:35","100","113","-3","14:56","21","0","0","0","0","0"
"MQ","03/05/2006","4637","N715AE","RDU","18:15","18:26","100","96","11","18:37","11","0","0","0","0","0"
"MQ","03/05/2006","4687","N700LE","RDU","09:50","09:47","101","95","-3","09:58","11","0","0","0","0","0"
"MQ","03/11/2006","4637","N725AE","RDU","18:15","18:49","100","110","34","19:11","22","0","0","10","0","34"
"MQ","03/11/2006","4687","N703MR","RDU","09:50","09:40","101","90","-10","09:47","7","0","0","0","0","0"
"MQ","03/11/2006","4689","N703MR","RDU","14:38","14:43","100","96","5","14:55","12","0","0","0","0","0"
"MQ","03/12/2006","4637","N720AE","RDU","18:15","18:22","100","102","7","18:41","19","0","0","0","0","0"
"MQ","03/12/2006","4687","N713AE","RDU","09:50","09:45","101","89","-5","09:54","9","0","0","0","0","0"
"MQ","03/18/2006","4637","N704PG","RDU","18:15","18:09","100","107","-6","18:29","20","0","0","0","0","0"
"MQ","03/18/2006","4687","N723AE","RDU","09:50","09:40","101","96","-10","09:51","11","0","0","0","0","0"
"MQ","03/18/2006","4689","N723AE","RDU","14:38","14:46","100","106","8","14:58","12","0","0","0","0","0"
"MQ","03/19/2006","4637","N730KW","RDU","18:15","18:27","100","91","12","18:36","9","0","0","0","0","0"
"MQ","03/19/2006","4687","N739AE","RDU","09:50","09:49","101","133","-1","10:19","30","0","0","31","0","0"
"MQ","03/25/2006","4637","N701MH","RDU","18:15","18:41","100","97","26","19:00","19","0","0","0","0","23"
"MQ","03/25/2006","4687","N814AE","RDU","09:50","09:45","101","102","-5","09:54","9","0","0","0","0","0"
"MQ","03/25/2006","4689","N814AE","RDU","14:38","14:53","100","100","15","15:12","19","0","0","0","0","15"
"MQ","03/26/2006","4637","N702AE","RDU","18:15","18:29","100","96","14","18:42","13","0","0","0","0","0"
"MQ","03/26/2006","4687","N730KW","RDU","09:50","09:50","101","107","0","10:12","22","0","0","0","0","0"
"MQ","04/01/2006","4637","N729AE","RDU","18:15","18:24","100","91","9","18:29","5","0","0","0","0","0"
"MQ","04/01/2006","4687","N833AE","RDU","09:50","09:43","101","110","-7","09:53","10","0","0","0","0","0"
"MQ","04/01/2006","4689","N724AE","RDU","14:38","14:41","100","104","3","14:51","10","0","0","0","0","0"
"MQ","04/02/2006","4637","N709GB","RDU","18:15","18:29","100","94","14","18:37","8","0","0","0","0","0"
"MQ","04/02/2006","4687","N737MW","RDU","09:50","09:49","101","99","-1","10:04","15","0","0","0","0","0"
"MQ","04/08/2006","4689","N715AE","RDU","14:41","15:03","103","101","22","15:15","12","0","0","3","0","17"
"MQ","04/09/2006","4687","N727AE","RDU","10:58","11:15","102","106","17","11:36","21","0","0","4","0","17"
"MQ","04/15/2006","4689","N838AE","RDU","14:41","14:36","103","98","-5","14:46","10","0","0","0","0","0"
"MQ","04/16/2006","4687","N705AE","RDU","10:58","10:55","102","104","-3","11:08","13","0","0","0","0","0"
"MQ","04/22/2006","4689","N710TB","RDU","14:41","16:15","103","120","94","16:46","31","0","0","17","0","94"
"MQ","04/23/2006","4687","N736DT","RDU","10:58","12:42","102","118","104","12:58","16","5","0","16","0","99"
"MQ","04/29/2006","4689","N711PH","RDU","14:41","15:15","103","124","34","15:46","31","21","0","21","0","13"
"MQ","04/30/2006","4687","N721HS","RDU","10:58","10:57","102","105","-1","11:09","12","0","0","0","0","0"
"MQ","05/06/2006","4689","N855AE","RDU","14:41","15:08","103","112","27","15:34","26","6","0","9","0","21"
"MQ","05/07/2006","4687","N725AE","RDU","10:58","11:00","102","96","2","11:10","10","0","0","0","0","0"
"MQ","05/13/2006","4689","N724AE","RDU","14:41","15:58","103","97","77","16:10","12","12","0","0","0","59"
"MQ","05/14/2006","4687","N703MR","RDU","10:58","10:58","102","99","0","11:10","12","0","0","0","0","0"
"MQ","05/20/2006","4689","N700LE","RDU","14:41","14:43","103","93","2","14:50","7","0","0","0","0","0"
"MQ","05/21/2006","4687","N716AE","RDU","10:58","10:58","102","99","0","11:07","9","0","0","0","0","0"
"MQ","05/27/2006","4689","N709GB","RDU","14:41","15:00","103","97","19","15:09","9","0","0","0","0","0"
"MQ","05/28/2006","4687","N704PG","RDU","10:58","10:54","102","105","-4","11:13","19","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
