Detailed Statistics Departures  
Origin Airport: Orlando, FL: Orlando International (MCO)
Airline: PSA Airlines Inc. (OH)
Month(s): March, April, and May
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","03/01/2006","5160","N965CA","DCA","18:50","19:00","130","141","10","19:09","9","10","0","11","0","0"
"OH","03/01/2006","5194","N984CA","MCI","17:45","17:45","180","180","0","17:59","14","0","0","0","0","0"
"OH","03/01/2006","5205","N912CA","MCI","12:05","12:00","180","188","-5","12:14","14","0","0","0","0","0"
"OH","03/01/2006","5302","N720SW","LEX","09:05","09:20","128","138","15","09:40","20","15","0","10","0","0"
"OH","03/01/2006","5562","N962CA","RDU","14:45","14:45","101","100","0","14:59","14","0","0","0","0","0"
"OH","03/01/2007","5305","N528CA","RDU","11:40","11:40","110","125","0","12:10","30","0","0","15","0","0"
"OH","03/01/2007","5482","N472CA","ORF","13:05","13:30","119","125","25","13:50","20","0","0","6","0","25"
"OH","03/01/2007","5672","N710CA","GSO","11:08","11:15","103","107","7","11:30","15","0","0","0","0","0"
"OH","03/01/2007","5680","N507CA","ACY","18:20","18:50","141","137","30","19:05","15","0","0","0","0","26"
"OH","03/01/2007","5688","N507CA","CHS","14:40","14:39","77","92","-1","15:05","26","0","0","0","0","0"
"OH","03/01/2009","6566","N691CA","CVG","11:24","11:58","131","107","34","12:11","13","0","0","0","0","0"
"OH","03/02/2006","5160","N937CA","DCA","18:50","18:50","130","136","0","19:06","16","0","0","0","0","0"
"OH","03/02/2006","5194","N960CA","MCI","17:45","17:35","180","175","-10","17:44","9","0","0","0","0","0"
"OH","03/02/2006","5205","N976CA","MCI","12:05","12:10","180","185","5","12:25","15","0","0","0","0","0"
"OH","03/02/2006","5302","N507CA","LEX","09:05","09:05","128","126","0","09:23","18","0","0","0","0","0"
"OH","03/02/2006","5562","N797CA","RDU","14:45","14:45","101","95","0","14:52","7","0","0","0","0","0"
"OH","03/02/2007","5305","N719CA","RDU","11:55","11:53","112","104","-2","12:12","19","0","0","0","0","0"
"OH","03/02/2007","5482","N812CA","ORF","13:00","13:15","125","115","15","13:27","12","0","0","0","0","0"
"OH","03/02/2007","5672","N507CA","GSO","12:00","11:50","108","116","-10","12:10","20","0","0","0","0","0"
"OH","03/02/2007","5680","N969CA","ACY","18:20","19:45","141","130","85","20:01","16","74","0","0","0","0"
"OH","03/02/2007","5688","N969CA","CHS","14:41","16:00","77","77","79","16:14","14","79","0","0","0","0"
"OH","03/02/2009","6566","N549CA","CVG","11:21","11:20","134","130","-1","11:34","14","0","0","0","0","0"
"OH","03/03/2006","5160","N805CA","DCA","18:50","18:50","130","144","0","19:10","20","0","0","0","0","0"
"OH","03/03/2006","5194","N975CA","MCI","17:45","17:45","180","180","0","17:55","10","0","0","0","0","0"
"OH","03/03/2006","5205","N403CA","MCI","12:05","12:05","180","195","0","12:30","25","0","0","15","0","0"
"OH","03/03/2006","5302","N918CA","LEX","09:05","09:03","128","122","-2","09:15","12","0","0","0","0","0"
"OH","03/03/2006","5562","N960CA","RDU","14:45","14:38","101","97","-7","14:52","14","0","0","0","0","0"
"OH","03/03/2007","5305","N969CA","RDU","11:55","11:55","112","105","0","12:11","16","0","0","0","0","0"
"OH","03/03/2007","5482","N964CA","ORF","13:00","14:20","125","153","80","15:24","64","0","80","28","0","0"
"OH","03/03/2007","5672","N451CA","GSO","12:00","12:00","108","95","0","12:17","17","0","0","0","0","0"
"OH","03/03/2007","5680","N436CA","ACY","18:20","18:50","141","128","30","19:05","15","0","0","0","0","17"
"OH","03/03/2007","5688","N436CA","CHS","14:41","14:50","77","95","9","15:39","49","9","0","18","0","0"
"OH","03/03/2009","6566","N692CA","CVG","11:21","11:21","134","136","0","11:30","9","0","0","0","0","0"
"OH","03/04/2006","5160","N983CA","DCA","18:50","18:50","130","135","0","19:10","20","0","0","0","0","0"
"OH","03/04/2006","5194","N926CA","MCI","17:45","17:50","180","215","5","18:10","20","5","0","35","0","0"
"OH","03/04/2006","5205","N868CA","MCI","12:05","12:05","180","200","0","12:25","20","0","0","20","0","0"
"OH","03/04/2006","5302","N496CA","LEX","09:05","09:00","128","132","-5","09:12","12","0","0","0","0","0"
"OH","03/04/2006","5562","N809CA","RDU","14:45","14:44","101","122","-1","15:13","29","0","0","20","0","0"
"OH","03/04/2007","5305","N436CA","RDU","11:55","11:55","112","101","0","12:07","12","0","0","0","0","0"
"OH","03/04/2007","5482","N811CA","ORF","13:00","13:00","125","109","0","13:20","20","0","0","0","0","0"
"OH","03/04/2007","5672","N918CA","GSO","12:00","12:00","108","93","0","12:14","14","0","0","0","0","0"
"OH","03/04/2007","5680","N917CA","ACY","18:20","18:30","141","135","10","18:47","17","0","0","0","0","0"
"OH","03/04/2007","5688","N917CA","CHS","14:41","14:45","77","78","4","15:04","19","0","0","0","0","0"
"OH","03/04/2009","6566","N679CA","CVG","11:21","11:20","134","146","-1","11:37","17","0","0","0","0","0"
"OH","03/05/2006","5160","N784CA","DCA","18:50","19:00","130","139","10","19:20","20","0","0","19","0","0"
"OH","03/05/2006","5194","N986CA","MCI","17:45","20:35","180","190","170","20:47","12","170","0","10","0","0"
"OH","03/05/2006","5205","N983CA","MCI","12:05","12:00","180","198","-5","12:23","23","0","0","0","0","0"
"OH","03/05/2006","5302","N991cA","LEX","09:05","09:00","128","130","-5","09:15","15","0","0","0","0","0"
"OH","03/05/2006","5562","N868CA","RDU","14:45","14:55","101","91","10","15:04","9","0","0","0","0","0"
"OH","03/05/2007","5305","N917CA","RDU","11:55","11:55","112","98","0","12:04","9","0","0","0","0","0"
"OH","03/05/2007","5482","N479CA","ORF","13:00","12:55","125","119","-5","13:13","18","0","0","0","0","0"
"OH","03/05/2007","5672","N796CA","GSO","12:00","12:00","108","100","0","12:10","10","0","0","0","0","0"
"OH","03/05/2007","5680","N959CA","ACY","18:20","18:10","141","140","-10","18:25","15","0","0","0","0","0"
"OH","03/05/2007","5688","N959CA","CHS","14:41","14:35","77","83","-6","14:50","15","0","0","0","0","0"
"OH","03/05/2009","6566","N538CA","CVG","11:21","11:30","134","131","9","11:42","12","0","0","0","0","0"
"OH","03/06/2006","5160","N916CA","DCA","18:50","18:50","130","153","0","19:18","28","0","0","23","0","0"
"OH","03/06/2006","5194","N937CA","MCI","17:45","17:45","180","208","0","18:00","15","0","0","28","0","0"
"OH","03/06/2006","5205","N987CA","MCI","12:05","12:00","180","207","-5","12:14","14","0","0","22","0","0"
"OH","03/06/2006","5302","N984CA","LEX","09:05","09:05","128","128","0","09:22","17","0","0","0","0","0"
"OH","03/06/2006","5562","N941CA","RDU","14:45","14:39","101","107","-6","14:54","15","0","0","0","0","0"
"OH","03/06/2007","5305","N959CA","RDU","11:55","11:50","112","105","-5","12:05","15","0","0","0","0","0"
"OH","03/06/2007","5482","N999CA","ORF","13:00","13:15","125","109","15","13:28","13","0","0","0","0","0"
"OH","03/06/2007","5672","N518CA","GSO","12:00","12:00","108","107","0","12:17","17","0","0","0","0","0"
"OH","03/06/2007","5688","N932CA","CHS","14:41","15:57","77","75","76","16:13","16","74","0","0","0","0"
"OH","03/06/2009","6566","N378CA","CVG","11:21","11:30","134","134","9","11:40","10","0","0","0","0","0"
"OH","03/07/2006","5160","N962CA","DCA","18:50","18:50","130","158","0","19:13","23","0","0","28","0","0"
"OH","03/07/2006","5194","N986CA","MCI","17:45","17:45","180","185","0","18:05","20","0","0","0","0","0"
"OH","03/07/2006","5205","N912CA","MCI","12:05","12:05","180","190","0","12:20","15","0","0","0","0","0"
"OH","03/07/2006","5302","N815CA","LEX","09:05","09:10","128","130","5","09:20","10","0","0","0","0","0"
"OH","03/07/2006","5562","N408CA","RDU","14:45","14:40","101","122","-5","14:53","13","0","0","16","0","0"
"OH","03/07/2007","5305","N810CA","RDU","11:55","11:50","112","120","-5","12:01","11","0","0","0","0","0"
"OH","03/07/2007","5482","N442CA","ORF","13:00","12:56","125","114","-4","13:08","12","0","0","0","0","0"
"OH","03/07/2007","5672","N999CA","GSO","12:00","11:50","108","107","-10","12:05","15","0","0","0","0","0"
"OH","03/07/2007","5680","N587SW","ACY","18:20","18:10","141","140","-10","18:25","15","0","0","0","0","0"
